order_id,customer_id,order_date,amount,status,created_at,updated_at
32,161,2023-01-03 14:00:00,318.48,CANCELLED,2023-01-03 14:00:00,2023-01-03 14:00:00
33,460,2023-01-03 16:00:00,36.62,SHIPPED,2023-01-03 16:00:00,2023-01-03 16:00:00
34,314,2023-01-03 18:00:00,376.84,PROCESSING,2023-01-03 18:00:00,2023-01-03 18:00:00
35,22,2023-01-03 20:00:00,165.62,PENDING,2023-01-03 20:00:00,2023-01-03 20:00:00
36,253,2023-01-03 22:00:00,10.07,PROCESSING,2023-01-03 22:00:00,2023-01-03 22:00:00
37,748,2023-01-04 00:00:00,260.45,PENDING,2023-01-04 00:00:00,2023-01-04 00:00:00
38,857,2023-01-04 02:00:00,32.96,SHIPPED,2023-01-04 02:00:00,2023-01-04 02:00:00
39,561,2023-01-04 04:00:00,145.32,CANCELLED,2023-01-04 04:00:00,2023-01-04 04:00:00
40,475,2023-01-04 06:00:00,356.42,SHIPPED,2023-01-04 06:00:00,2023-01-04 06:00:00
41,59,2023-01-04 08:00:00,40.72,PROCESSING,2023-01-04 08:00:00,2023-01-04 08:00:00
42,511,2023-01-04 10:00:00,421.28,PENDING,2023-01-04 10:00:00,2023-01-04 10:00:00
43,682,2023-01-04 12:00:00,11.87,PROCESSING,2023-01-04 12:00:00,2023-01-04 12:00:00
44,476,2023-01-04 14:00:00,130.94,CANCELLED,2023-01-04 14:00:00,2023-01-04 14:00:00
45,700,2023-01-04 16:00:00,373.04,SHIPPED,2023-01-04 16:00:00,2023-01-04 16:00:00
46,976,2023-01-04 18:00:00,164.97,PROCESSING,2023-01-04 18:00:00,2023-01-04 18:00:00
47,783,2023-01-04 20:00:00,59.93,PROCESSING,2023-01-04 20:00:00,2023-01-04 20:00:00
48,190,2023-01-04 22:00:00,186.51,CANCELLED,2023-01-04 22:00:00,2023-01-04 22:00:00
49,958,2023-01-05 00:00:00,142.49,PENDING,2023-01-05 00:00:00,2023-01-05 00:00:00
50,687,2023-01-05 02:00:00,422.93,PROCESSING,2023-01-05 02:00:00,2023-01-05 02:00:00
51,958,2023-01-05 04:00:00,163.54,CANCELLED,2023-01-05 04:00:00,2023-01-05 04:00:00
52,563,2023-01-05 06:00:00,396.58,PENDING,2023-01-05 06:00:00,2023-01-05 06:00:00
53,876,2023-01-05 08:00:00,447.02,PENDING,2023-01-05 08:00:00,2023-01-05 08:00:00
54,567,2023-01-05 10:00:00,222.57,SHIPPED,2023-01-05 10:00:00,2023-01-05 10:00:00
55,244,2023-01-05 12:00:00,455.87,CANCELLED,2023-01-05 12:00:00,2023-01-05 12:00:00
56,832,2023-01-05 14:00:00,194.89,PENDING,2023-01-05 14:00:00,2023-01-05 14:00:00
57,505,2023-01-05 16:00:00,482.4,SHIPPED,2023-01-05 16:00:00,2023-01-05 16:00:00
58,131,2023-01-05 18:00:00,53.75,DELIVERED,2023-01-05 18:00:00,2023-01-05 18:00:00
59,485,2023-01-05 20:00:00,346.64,CANCELLED,2023-01-05 20:00:00,2023-01-05 20:00:00
60,819,2023-01-05 22:00:00,251.97,DELIVERED,2023-01-05 22:00:00,2023-01-05 22:00:00
61,647,2023-01-06 00:00:00,199.95,PENDING,2023-01-06 00:00:00,2023-01-06 00:00:00
62,21,2023-01-06 02:00:00,320.03,CANCELLED,2023-01-06 02:00:00,2023-01-06 02:00:00
63,841,2023-01-06 04:00:00,354.89,SHIPPED,2023-01-06 04:00:00,2023-01-06 04:00:00
64,167,2023-01-06 06:00:00,12.14,PENDING,2023-01-06 06:00:00,2023-01-06 06:00:00
65,274,2023-01-06 08:00:00,91.81,CANCELLED,2023-01-06 08:00:00,2023-01-06 08:00:00
66,388,2023-01-06 10:00:00,359.39,CANCELLED,2023-01-06 10:00:00,2023-01-06 10:00:00
67,601,2023-01-06 12:00:00,336.53,DELIVERED,2023-01-06 12:00:00,2023-01-06 12:00:00
68,316,2023-01-06 14:00:00,483.36,PENDING,2023-01-06 14:00:00,2023-01-06 14:00:00
69,14,2023-01-06 16:00:00,382.91,SHIPPED,2023-01-06 16:00:00,2023-01-06 16:00:00
70,242,2023-01-06 18:00:00,475.88,SHIPPED,2023-01-06 18:00:00,2023-01-06 18:00:00
71,777,2023-01-06 20:00:00,354.24,PENDING,2023-01-06 20:00:00,2023-01-06 20:00:00
72,346,2023-01-06 22:00:00,156.05,PENDING,2023-01-06 22:00:00,2023-01-06 22:00:00
73,565,2023-01-07 00:00:00,61.63,PROCESSING,2023-01-07 00:00:00,2023-01-07 00:00:00
74,898,2023-01-07 02:00:00,393.09,DELIVERED,2023-01-07 02:00:00,2023-01-07 02:00:00
75,340,2023-01-07 04:00:00,325.63,PENDING,2023-01-07 04:00:00,2023-01-07 04:00:00
76,92,2023-01-07 06:00:00,33.61,PENDING,2023-01-07 06:00:00,2023-01-07 06:00:00
77,367,2023-01-07 08:00:00,186.42,PROCESSING,2023-01-07 08:00:00,2023-01-07 08:00:00
78,956,2023-01-07 10:00:00,478.83,PROCESSING,2023-01-07 10:00:00,2023-01-07 10:00:00
79,455,2023-01-07 12:00:00,255.2,CANCELLED,2023-01-07 12:00:00,2023-01-07 12:00:00
80,428,2023-01-07 14:00:00,222.04,SHIPPED,2023-01-07 14:00:00,2023-01-07 14:00:00
81,509,2023-01-07 16:00:00,234.27,DELIVERED,2023-01-07 16:00:00,2023-01-07 16:00:00
82,776,2023-01-07 18:00:00,112.35,CANCELLED,2023-01-07 18:00:00,2023-01-07 18:00:00
83,943,2023-01-07 20:00:00,190.67,PENDING,2023-01-07 20:00:00,2023-01-07 20:00:00
84,35,2023-01-07 22:00:00,191.21,PROCESSING,2023-01-07 22:00:00,2023-01-07 22:00:00
85,206,2023-01-08 00:00:00,35.65,SHIPPED,2023-01-08 00:00:00,2023-01-08 00:00:00
86,81,2023-01-08 02:00:00,386.11,CANCELLED,2023-01-08 02:00:00,2023-01-08 02:00:00
87,932,2023-01-08 04:00:00,214.09,SHIPPED,2023-01-08 04:00:00,2023-01-08 04:00:00
88,562,2023-01-08 06:00:00,412.87,PROCESSING,2023-01-08 06:00:00,2023-01-08 06:00:00
89,872,2023-01-08 08:00:00,426.67,CANCELLED,2023-01-08 08:00:00,2023-01-08 08:00:00
90,388,2023-01-08 10:00:00,113.88,CANCELLED,2023-01-08 10:00:00,2023-01-08 10:00:00
91,2,2023-01-08 12:00:00,332.1,SHIPPED,2023-01-08 12:00:00,2023-01-08 12:00:00
92,390,2023-01-08 14:00:00,241.42,PROCESSING,2023-01-08 14:00:00,2023-01-08 14:00:00
93,566,2023-01-08 16:00:00,441.28,PENDING,2023-01-08 16:00:00,2023-01-08 16:00:00
94,106,2023-01-08 18:00:00,115.71,CANCELLED,2023-01-08 18:00:00,2023-01-08 18:00:00
95,772,2023-01-08 20:00:00,342.13,PENDING,2023-01-08 20:00:00,2023-01-08 20:00:00
96,822,2023-01-08 22:00:00,307.8,PROCESSING,2023-01-08 22:00:00,2023-01-08 22:00:00
97,477,2023-01-09 00:00:00,154.7,CANCELLED,2023-01-09 00:00:00,2023-01-09 00:00:00
98,703,2023-01-09 02:00:00,76.93,CANCELLED,2023-01-09 02:00:00,2023-01-09 02:00:00
99,402,2023-01-09 04:00:00,329.3,PENDING,2023-01-09 04:00:00,2023-01-09 04:00:00
100,730,2023-01-09 06:00:00,371.91,DELIVERED,2023-01-09 06:00:00,2023-01-09 06:00:00
101,556,2023-01-09 08:00:00,164.66,PENDING,2023-01-09 08:00:00,2023-01-09 08:00:00
102,162,2023-01-09 10:00:00,325.97,PENDING,2023-01-09 10:00:00,2023-01-09 10:00:00
103,202,2023-01-09 12:00:00,203.61,DELIVERED,2023-01-09 12:00:00,2023-01-09 12:00:00
104,958,2023-01-09 14:00:00,359.47,PROCESSING,2023-01-09 14:00:00,2023-01-09 14:00:00
105,996,2023-01-09 16:00:00,107.62,PROCESSING,2023-01-09 16:00:00,2023-01-09 16:00:00
106,270,2023-01-09 18:00:00,446.21,CANCELLED,2023-01-09 18:00:00,2023-01-09 18:00:00
107,863,2023-01-09 20:00:00,150.83,SHIPPED,2023-01-09 20:00:00,2023-01-09 20:00:00
108,816,2023-01-09 22:00:00,190.22,SHIPPED,2023-01-09 22:00:00,2023-01-09 22:00:00
109,271,2023-01-10 00:00:00,38.47,CANCELLED,2023-01-10 00:00:00,2023-01-10 00:00:00
110,456,2023-01-10 02:00:00,64.64,SHIPPED,2023-01-10 02:00:00,2023-01-10 02:00:00
111,462,2023-01-10 04:00:00,262.77,PENDING,2023-01-10 04:00:00,2023-01-10 04:00:00
112,727,2023-01-10 06:00:00,141.12,PENDING,2023-01-10 06:00:00,2023-01-10 06:00:00
113,252,2023-01-10 08:00:00,419.39,DELIVERED,2023-01-10 08:00:00,2023-01-10 08:00:00
114,702,2023-01-10 10:00:00,17.2,DELIVERED,2023-01-10 10:00:00,2023-01-10 10:00:00
115,296,2023-01-10 12:00:00,195.76,CANCELLED,2023-01-10 12:00:00,2023-01-10 12:00:00
116,725,2023-01-10 14:00:00,175.3,CANCELLED,2023-01-10 14:00:00,2023-01-10 14:00:00
117,720,2023-01-10 16:00:00,19.47,CANCELLED,2023-01-10 16:00:00,2023-01-10 16:00:00
118,749,2023-01-10 18:00:00,70.94,PENDING,2023-01-10 18:00:00,2023-01-10 18:00:00
119,338,2023-01-10 20:00:00,212.68,SHIPPED,2023-01-10 20:00:00,2023-01-10 20:00:00
120,879,2023-01-10 22:00:00,251.5,CANCELLED,2023-01-10 22:00:00,2023-01-10 22:00:00
121,53,2023-01-11 00:00:00,208.1,CANCELLED,2023-01-11 00:00:00,2023-01-11 00:00:00
122,792,2023-01-11 02:00:00,270.16,PENDING,2023-01-11 02:00:00,2023-01-11 02:00:00
123,922,2023-01-11 04:00:00,301.61,PENDING,2023-01-11 04:00:00,2023-01-11 04:00:00
124,217,2023-01-11 06:00:00,14.86,PENDING,2023-01-11 06:00:00,2023-01-11 06:00:00
125,764,2023-01-11 08:00:00,237.41,SHIPPED,2023-01-11 08:00:00,2023-01-11 08:00:00
126,188,2023-01-11 10:00:00,482.11,CANCELLED,2023-01-11 10:00:00,2023-01-11 10:00:00
127,380,2023-01-11 12:00:00,264.33,PROCESSING,2023-01-11 12:00:00,2023-01-11 12:00:00
128,493,2023-01-11 14:00:00,342.0,PROCESSING,2023-01-11 14:00:00,2023-01-11 14:00:00
129,41,2023-01-11 16:00:00,162.81,CANCELLED,2023-01-11 16:00:00,2023-01-11 16:00:00
130,157,2023-01-11 18:00:00,389.26,CANCELLED,2023-01-11 18:00:00,2023-01-11 18:00:00
131,15,2023-01-11 20:00:00,388.73,CANCELLED,2023-01-11 20:00:00,2023-01-11 20:00:00
132,813,2023-01-11 22:00:00,265.44,CANCELLED,2023-01-11 22:00:00,2023-01-11 22:00:00
133,65,2023-01-12 00:00:00,488.25,SHIPPED,2023-01-12 00:00:00,2023-01-12 00:00:00
134,857,2023-01-12 02:00:00,71.52,PROCESSING,2023-01-12 02:00:00,2023-01-12 02:00:00
135,839,2023-01-12 04:00:00,18.3,DELIVERED,2023-01-12 04:00:00,2023-01-12 04:00:00
136,521,2023-01-12 06:00:00,387.38,PROCESSING,2023-01-12 06:00:00,2023-01-12 06:00:00
137,344,2023-01-12 08:00:00,405.51,PROCESSING,2023-01-12 08:00:00,2023-01-12 08:00:00
138,129,2023-01-12 10:00:00,68.9,PENDING,2023-01-12 10:00:00,2023-01-12 10:00:00
139,648,2023-01-12 12:00:00,140.14,CANCELLED,2023-01-12 12:00:00,2023-01-12 12:00:00
140,472,2023-01-12 14:00:00,18.6,CANCELLED,2023-01-12 14:00:00,2023-01-12 14:00:00
141,63,2023-01-12 16:00:00,153.72,CANCELLED,2023-01-12 16:00:00,2023-01-12 16:00:00
142,139,2023-01-12 18:00:00,388.84,PENDING,2023-01-12 18:00:00,2023-01-12 18:00:00
143,499,2023-01-12 20:00:00,263.8,SHIPPED,2023-01-12 20:00:00,2023-01-12 20:00:00
144,593,2023-01-12 22:00:00,180.57,SHIPPED,2023-01-12 22:00:00,2023-01-12 22:00:00
145,392,2023-01-13 00:00:00,192.15,DELIVERED,2023-01-13 00:00:00,2023-01-13 00:00:00
146,675,2023-01-13 02:00:00,10.66,SHIPPED,2023-01-13 02:00:00,2023-01-13 02:00:00
147,419,2023-01-13 04:00:00,156.9,SHIPPED,2023-01-13 04:00:00,2023-01-13 04:00:00
148,289,2023-01-13 06:00:00,326.76,CANCELLED,2023-01-13 06:00:00,2023-01-13 06:00:00
149,379,2023-01-13 08:00:00,487.36,PROCESSING,2023-01-13 08:00:00,2023-01-13 08:00:00
150,773,2023-01-13 10:00:00,425.06,SHIPPED,2023-01-13 10:00:00,2023-01-13 10:00:00
151,490,2023-01-13 12:00:00,21.56,SHIPPED,2023-01-13 12:00:00,2023-01-13 12:00:00
152,231,2023-01-13 14:00:00,450.29,PENDING,2023-01-13 14:00:00,2023-01-13 14:00:00
153,41,2023-01-13 16:00:00,393.77,DELIVERED,2023-01-13 16:00:00,2023-01-13 16:00:00
154,28,2023-01-13 18:00:00,392.38,PENDING,2023-01-13 18:00:00,2023-01-13 18:00:00
155,135,2023-01-13 20:00:00,234.42,CANCELLED,2023-01-13 20:00:00,2023-01-13 20:00:00
156,201,2023-01-13 22:00:00,205.02,PROCESSING,2023-01-13 22:00:00,2023-01-13 22:00:00
157,840,2023-01-14 00:00:00,158.43,DELIVERED,2023-01-14 00:00:00,2023-01-14 00:00:00
158,780,2023-01-14 02:00:00,42.19,PENDING,2023-01-14 02:00:00,2023-01-14 02:00:00
159,930,2023-01-14 04:00:00,121.84,SHIPPED,2023-01-14 04:00:00,2023-01-14 04:00:00
160,33,2023-01-14 06:00:00,130.84,SHIPPED,2023-01-14 06:00:00,2023-01-14 06:00:00
161,48,2023-01-14 08:00:00,247.2,DELIVERED,2023-01-14 08:00:00,2023-01-14 08:00:00
162,503,2023-01-14 10:00:00,376.25,SHIPPED,2023-01-14 10:00:00,2023-01-14 10:00:00
163,407,2023-01-14 12:00:00,242.17,PENDING,2023-01-14 12:00:00,2023-01-14 12:00:00
164,574,2023-01-14 14:00:00,38.34,PENDING,2023-01-14 14:00:00,2023-01-14 14:00:00
165,728,2023-01-14 16:00:00,479.32,SHIPPED,2023-01-14 16:00:00,2023-01-14 16:00:00
166,805,2023-01-14 18:00:00,471.93,SHIPPED,2023-01-14 18:00:00,2023-01-14 18:00:00
167,99,2023-01-14 20:00:00,394.74,CANCELLED,2023-01-14 20:00:00,2023-01-14 20:00:00
168,684,2023-01-14 22:00:00,495.75,PROCESSING,2023-01-14 22:00:00,2023-01-14 22:00:00
169,872,2023-01-15 00:00:00,276.8,DELIVERED,2023-01-15 00:00:00,2023-01-15 00:00:00
170,726,2023-01-15 02:00:00,481.76,PENDING,2023-01-15 02:00:00,2023-01-15 02:00:00
171,987,2023-01-15 04:00:00,47.05,DELIVERED,2023-01-15 04:00:00,2023-01-15 04:00:00
172,547,2023-01-15 06:00:00,189.18,CANCELLED,2023-01-15 06:00:00,2023-01-15 06:00:00
173,961,2023-01-15 08:00:00,120.44,PENDING,2023-01-15 08:00:00,2023-01-15 08:00:00
174,739,2023-01-15 10:00:00,105.96,CANCELLED,2023-01-15 10:00:00,2023-01-15 10:00:00
175,613,2023-01-15 12:00:00,78.99,CANCELLED,2023-01-15 12:00:00,2023-01-15 12:00:00
176,943,2023-01-15 14:00:00,314.98,SHIPPED,2023-01-15 14:00:00,2023-01-15 14:00:00
177,462,2023-01-15 16:00:00,392.85,DELIVERED,2023-01-15 16:00:00,2023-01-15 16:00:00
178,643,2023-01-15 18:00:00,293.37,DELIVERED,2023-01-15 18:00:00,2023-01-15 18:00:00
179,769,2023-01-15 20:00:00,82.01,SHIPPED,2023-01-15 20:00:00,2023-01-15 20:00:00
180,5,2023-01-15 22:00:00,407.45,DELIVERED,2023-01-15 22:00:00,2023-01-15 22:00:00
181,218,2023-01-16 00:00:00,321.62,SHIPPED,2023-01-16 00:00:00,2023-01-16 00:00:00
182,503,2023-01-16 02:00:00,200.2,PENDING,2023-01-16 02:00:00,2023-01-16 02:00:00
183,767,2023-01-16 04:00:00,340.32,CANCELLED,2023-01-16 04:00:00,2023-01-16 04:00:00
184,398,2023-01-16 06:00:00,137.35,CANCELLED,2023-01-16 06:00:00,2023-01-16 06:00:00
185,871,2023-01-16 08:00:00,179.14,DELIVERED,2023-01-16 08:00:00,2023-01-16 08:00:00
186,795,2023-01-16 10:00:00,459.57,PROCESSING,2023-01-16 10:00:00,2023-01-16 10:00:00
187,393,2023-01-16 12:00:00,152.35,CANCELLED,2023-01-16 12:00:00,2023-01-16 12:00:00
188,207,2023-01-16 14:00:00,240.29,SHIPPED,2023-01-16 14:00:00,2023-01-16 14:00:00
189,15,2023-01-16 16:00:00,446.17,PROCESSING,2023-01-16 16:00:00,2023-01-16 16:00:00
190,858,2023-01-16 18:00:00,356.78,PROCESSING,2023-01-16 18:00:00,2023-01-16 18:00:00
191,554,2023-01-16 20:00:00,40.48,CANCELLED,2023-01-16 20:00:00,2023-01-16 20:00:00
192,892,2023-01-16 22:00:00,82.18,CANCELLED,2023-01-16 22:00:00,2023-01-16 22:00:00
193,461,2023-01-17 00:00:00,13.84,CANCELLED,2023-01-17 00:00:00,2023-01-17 00:00:00
194,691,2023-01-17 02:00:00,319.15,SHIPPED,2023-01-17 02:00:00,2023-01-17 02:00:00
195,575,2023-01-17 04:00:00,229.36,PROCESSING,2023-01-17 04:00:00,2023-01-17 04:00:00
196,864,2023-01-17 06:00:00,75.79,DELIVERED,2023-01-17 06:00:00,2023-01-17 06:00:00
197,743,2023-01-17 08:00:00,479.39,SHIPPED,2023-01-17 08:00:00,2023-01-17 08:00:00
198,241,2023-01-17 10:00:00,269.53,PENDING,2023-01-17 10:00:00,2023-01-17 10:00:00
199,564,2023-01-17 12:00:00,128.53,CANCELLED,2023-01-17 12:00:00,2023-01-17 12:00:00
200,96,2023-01-17 14:00:00,255.3,PROCESSING,2023-01-17 14:00:00,2023-01-17 14:00:00
201,900,2023-01-17 16:00:00,343.01,SHIPPED,2023-01-17 16:00:00,2023-01-17 16:00:00
202,734,2023-01-17 18:00:00,47.36,PENDING,2023-01-17 18:00:00,2023-01-17 18:00:00
203,485,2023-01-17 20:00:00,144.6,SHIPPED,2023-01-17 20:00:00,2023-01-17 20:00:00
204,407,2023-01-17 22:00:00,405.41,SHIPPED,2023-01-17 22:00:00,2023-01-17 22:00:00
205,231,2023-01-18 00:00:00,235.24,DELIVERED,2023-01-18 00:00:00,2023-01-18 00:00:00
206,749,2023-01-18 02:00:00,277.82,DELIVERED,2023-01-18 02:00:00,2023-01-18 02:00:00
207,655,2023-01-18 04:00:00,222.08,SHIPPED,2023-01-18 04:00:00,2023-01-18 04:00:00
208,171,2023-01-18 06:00:00,31.51,PENDING,2023-01-18 06:00:00,2023-01-18 06:00:00
209,541,2023-01-18 08:00:00,91.22,PROCESSING,2023-01-18 08:00:00,2023-01-18 08:00:00
210,36,2023-01-18 10:00:00,228.32,PROCESSING,2023-01-18 10:00:00,2023-01-18 10:00:00
211,525,2023-01-18 12:00:00,112.5,CANCELLED,2023-01-18 12:00:00,2023-01-18 12:00:00
212,160,2023-01-18 14:00:00,34.49,CANCELLED,2023-01-18 14:00:00,2023-01-18 14:00:00
213,839,2023-01-18 16:00:00,423.39,PROCESSING,2023-01-18 16:00:00,2023-01-18 16:00:00
214,699,2023-01-18 18:00:00,490.78,SHIPPED,2023-01-18 18:00:00,2023-01-18 18:00:00
215,243,2023-01-18 20:00:00,398.64,SHIPPED,2023-01-18 20:00:00,2023-01-18 20:00:00
216,86,2023-01-18 22:00:00,428.35,DELIVERED,2023-01-18 22:00:00,2023-01-18 22:00:00
217,796,2023-01-19 00:00:00,128.57,DELIVERED,2023-01-19 00:00:00,2023-01-19 00:00:00
218,578,2023-01-19 02:00:00,480.71,CANCELLED,2023-01-19 02:00:00,2023-01-19 02:00:00
219,682,2023-01-19 04:00:00,106.49,PROCESSING,2023-01-19 04:00:00,2023-01-19 04:00:00
220,557,2023-01-19 06:00:00,476.2,SHIPPED,2023-01-19 06:00:00,2023-01-19 06:00:00
221,574,2023-01-19 08:00:00,497.46,PROCESSING,2023-01-19 08:00:00,2023-01-19 08:00:00
222,953,2023-01-19 10:00:00,358.74,PENDING,2023-01-19 10:00:00,2023-01-19 10:00:00
223,646,2023-01-19 12:00:00,490.76,PROCESSING,2023-01-19 12:00:00,2023-01-19 12:00:00
224,796,2023-01-19 14:00:00,289.07,PENDING,2023-01-19 14:00:00,2023-01-19 14:00:00
225,28,2023-01-19 16:00:00,137.18,DELIVERED,2023-01-19 16:00:00,2023-01-19 16:00:00
226,620,2023-01-19 18:00:00,224.13,DELIVERED,2023-01-19 18:00:00,2023-01-19 18:00:00
227,556,2023-01-19 20:00:00,300.84,CANCELLED,2023-01-19 20:00:00,2023-01-19 20:00:00
228,340,2023-01-19 22:00:00,45.81,PROCESSING,2023-01-19 22:00:00,2023-01-19 22:00:00
229,798,2023-01-20 00:00:00,314.95,PROCESSING,2023-01-20 00:00:00,2023-01-20 00:00:00
230,958,2023-01-20 02:00:00,490.78,PENDING,2023-01-20 02:00:00,2023-01-20 02:00:00
231,331,2023-01-20 04:00:00,103.15,DELIVERED,2023-01-20 04:00:00,2023-01-20 04:00:00
232,640,2023-01-20 06:00:00,398.37,PENDING,2023-01-20 06:00:00,2023-01-20 06:00:00
233,506,2023-01-20 08:00:00,454.87,DELIVERED,2023-01-20 08:00:00,2023-01-20 08:00:00
234,348,2023-01-20 10:00:00,472.41,PENDING,2023-01-20 10:00:00,2023-01-20 10:00:00
235,473,2023-01-20 12:00:00,480.47,DELIVERED,2023-01-20 12:00:00,2023-01-20 12:00:00
236,231,2023-01-20 14:00:00,265.52,PENDING,2023-01-20 14:00:00,2023-01-20 14:00:00
237,190,2023-01-20 16:00:00,488.88,DELIVERED,2023-01-20 16:00:00,2023-01-20 16:00:00
238,225,2023-01-20 18:00:00,381.08,PENDING,2023-01-20 18:00:00,2023-01-20 18:00:00
239,385,2023-01-20 20:00:00,89.22,PROCESSING,2023-01-20 20:00:00,2023-01-20 20:00:00
240,377,2023-01-20 22:00:00,243.68,CANCELLED,2023-01-20 22:00:00,2023-01-20 22:00:00
241,283,2023-01-21 00:00:00,361.98,PENDING,2023-01-21 00:00:00,2023-01-21 00:00:00
242,958,2023-01-21 02:00:00,131.2,CANCELLED,2023-01-21 02:00:00,2023-01-21 02:00:00
243,633,2023-01-21 04:00:00,323.9,PROCESSING,2023-01-21 04:00:00,2023-01-21 04:00:00
244,628,2023-01-21 06:00:00,336.63,PROCESSING,2023-01-21 06:00:00,2023-01-21 06:00:00
245,973,2023-01-21 08:00:00,89.72,DELIVERED,2023-01-21 08:00:00,2023-01-21 08:00:00
246,745,2023-01-21 10:00:00,286.89,CANCELLED,2023-01-21 10:00:00,2023-01-21 10:00:00
247,259,2023-01-21 12:00:00,388.1,SHIPPED,2023-01-21 12:00:00,2023-01-21 12:00:00
248,359,2023-01-21 14:00:00,254.46,DELIVERED,2023-01-21 14:00:00,2023-01-21 14:00:00
249,710,2023-01-21 16:00:00,15.93,CANCELLED,2023-01-21 16:00:00,2023-01-21 16:00:00
250,456,2023-01-21 18:00:00,14.43,PENDING,2023-01-21 18:00:00,2023-01-21 18:00:00
251,411,2023-01-21 20:00:00,184.94,PENDING,2023-01-21 20:00:00,2023-01-21 20:00:00
252,649,2023-01-21 22:00:00,463.84,PROCESSING,2023-01-21 22:00:00,2023-01-21 22:00:00
253,318,2023-01-22 00:00:00,122.05,SHIPPED,2023-01-22 00:00:00,2023-01-22 00:00:00
254,677,2023-01-22 02:00:00,320.84,PENDING,2023-01-22 02:00:00,2023-01-22 02:00:00
255,225,2023-01-22 04:00:00,118.82,CANCELLED,2023-01-22 04:00:00,2023-01-22 04:00:00
256,819,2023-01-22 06:00:00,167.62,CANCELLED,2023-01-22 06:00:00,2023-01-22 06:00:00
257,234,2023-01-22 08:00:00,425.54,PENDING,2023-01-22 08:00:00,2023-01-22 08:00:00
258,684,2023-01-22 10:00:00,367.14,CANCELLED,2023-01-22 10:00:00,2023-01-22 10:00:00
259,664,2023-01-22 12:00:00,56.75,CANCELLED,2023-01-22 12:00:00,2023-01-22 12:00:00
260,975,2023-01-22 14:00:00,220.06,PROCESSING,2023-01-22 14:00:00,2023-01-22 14:00:00
