job_day_sk,datekey,job_id,view_count,userview_count,total_view_duration_sec,max_view_duration_sec,avg_user_max_view_duration_sec,start_step1_count,start_step2_count,start_step3_count,completed_apply_count,drop_step1_count,drop_step2_count,drop_step3_count,bounce_count,deepread_noapply_count,created_at,updated_at
33,20251204,103,233,182,7689,126,60.0,151,133,125,25,82,18,8,105,14,2025-12-22 09:00:00,2025-12-22 09:00:00
34,20251204,104,125,98,12375,414,180.0,100,82,74,38,25,18,8,12,12,2025-12-22 09:00:00,2025-12-22 09:00:00
35,20251204,105,143,112,11798,345,150.0,79,63,58,16,64,16,5,17,11,2025-12-22 09:00:00,2025-12-22 09:00:00
36,20251204,106,179,140,29535,750,300.0,143,117,105,55,36,26,12,13,32,2025-12-22 09:00:00,2025-12-22 09:00:00
37,20251204,107,107,83,11182,437,190.0,88,74,53,20,19,14,21,10,10,2025-12-22 09:00:00,2025-12-22 09:00:00
38,20251204,108,152,119,18392,506,220.0,109,85,76,30,43,24,9,23,28,2025-12-22 09:00:00,2025-12-22 09:00:00
39,20251204,109,81,63,8910,460,200.0,65,55,51,29,16,10,4,6,10,2025-12-22 09:00:00,2025-12-22 09:00:00
40,20251204,110,134,105,10318,322,140.0,91,73,66,25,43,18,7,38,13,2025-12-22 09:00:00,2025-12-22 09:00:00
41,20251205,101,200,156,23100,483,210.0,150,90,76,15,50,60,14,16,44,2025-12-22 09:00:00,2025-12-22 09:00:00
42,20251205,102,164,128,28864,800,320.0,134,105,94,47,30,29,11,10,27,2025-12-22 09:00:00,2025-12-22 09:00:00
43,20251205,103,237,185,7821,126,60.0,154,136,128,26,83,18,8,107,14,2025-12-22 09:00:00,2025-12-22 09:00:00
44,20251205,104,127,99,12573,414,180.0,102,84,76,40,25,18,8,13,12,2025-12-22 09:00:00,2025-12-22 09:00:00
45,20251205,105,146,114,12045,345,150.0,80,64,59,16,66,16,5,18,12,2025-12-22 09:00:00,2025-12-22 09:00:00
46,20251205,106,182,142,30030,750,300.0,146,120,108,56,36,26,12,13,32,2025-12-22 09:00:00,2025-12-22 09:00:00
47,20251205,107,109,85,11391,437,190.0,89,75,54,21,20,14,21,10,10,2025-12-22 09:00:00,2025-12-22 09:00:00
48,20251205,108,155,121,18755,506,220.0,112,87,78,31,43,25,9,23,28,2025-12-22 09:00:00,2025-12-22 09:00:00
49,20251205,109,82,64,9020,460,200.0,66,56,52,30,16,10,4,7,10,2025-12-22 09:00:00,2025-12-22 09:00:00
50,20251205,110,136,106,10472,322,140.0,92,74,67,25,44,18,7,38,14,2025-12-22 09:00:00,2025-12-22 09:00:00
51,20251206,101,153,119,17672,483,210.0,115,69,59,12,38,46,10,12,33,2025-12-22 09:00:00,2025-12-22 09:00:00
52,20251206,102,125,98,22000,800,320.0,103,80,72,36,22,23,8,8,20,2025-12-22 09:00:00,2025-12-22 09:00:00
53,20251206,103,180,140,5940,126,60.0,117,103,97,19,63,14,6,81,11,2025-12-22 09:00:00,2025-12-22 09:00:00
54,20251206,104,97,76,9603,414,180.0,78,64,58,30,19,14,6,10,10,2025-12-22 09:00:00,2025-12-22 09:00:00
55,20251206,105,111,87,9158,345,150.0,61,49,45,12,50,12,4,13,9,2025-12-22 09:00:00,2025-12-22 09:00:00
56,20251206,106,139,108,22935,750,300.0,111,91,82,43,28,20,9,10,25,2025-12-22 09:00:00,2025-12-22 09:00:00
57,20251206,107,83,65,8674,437,190.0,68,57,41,16,15,11,16,7,8,2025-12-22 09:00:00,2025-12-22 09:00:00
58,20251206,108,118,92,14278,506,220.0,85,66,59,24,33,19,7,18,21,2025-12-22 09:00:00,2025-12-22 09:00:00
59,20251206,109,62,48,6820,460,200.0,50,42,39,22,12,8,3,5,7,2025-12-22 09:00:00,2025-12-22 09:00:00
60,20251206,110,104,81,8008,322,140.0,71,57,51,19,33,14,6,29,10,2025-12-22 09:00:00,2025-12-22 09:00:00
61,20251207,101,155,121,17903,483,210.0,116,70,60,12,39,46,10,12,34,2025-12-22 09:00:00,2025-12-22 09:00:00
62,20251207,102,127,99,22352,800,320.0,104,81,73,36,23,23,8,8,21,2025-12-22 09:00:00,2025-12-22 09:00:00
63,20251207,103,183,143,6039,126,60.0,119,105,99,20,64,14,6,82,11,2025-12-22 09:00:00,2025-12-22 09:00:00
64,20251207,104,99,77,9801,414,180.0,79,65,58,30,20,14,7,10,10,2025-12-22 09:00:00,2025-12-22 09:00:00
65,20251207,105,113,88,9322,345,150.0,62,50,46,12,51,12,4,14,9,2025-12-22 09:00:00,2025-12-22 09:00:00
66,20251207,106,141,110,23265,750,300.0,113,93,84,44,28,20,9,10,25,2025-12-22 09:00:00,2025-12-22 09:00:00
67,20251207,107,85,66,8883,437,190.0,70,59,42,16,15,11,17,8,8,2025-12-22 09:00:00,2025-12-22 09:00:00
68,20251207,108,120,94,14520,506,220.0,86,67,60,24,34,19,7,18,22,2025-12-22 09:00:00,2025-12-22 09:00:00
69,20251207,109,63,49,6930,460,200.0,50,42,39,22,13,8,3,5,8,2025-12-22 09:00:00,2025-12-22 09:00:00
70,20251207,110,106,83,8162,322,140.0,72,58,52,20,34,14,6,30,11,2025-12-22 09:00:00,2025-12-22 09:00:00
71,20251208,101,210,164,24255,483,210.0,158,95,81,16,52,63,14,17,46,2025-12-22 09:00:00,2025-12-22 09:00:00
72,20251208,102,172,134,30272,800,320.0,141,110,99,50,31,31,11,10,28,2025-12-22 09:00:00,2025-12-22 09:00:00
73,20251208,103,248,193,8184,126,60.0,161,142,133,27,87,19,9,112,15,2025-12-22 09:00:00,2025-12-22 09:00:00
74,20251208,104,134,105,13266,414,180.0,107,88,79,41,27,19,9,13,14,2025-12-22 09:00:00,2025-12-22 09:00:00
75,20251208,105,153,119,12622,345,150.0,84,67,62,17,69,17,5,18,12,2025-12-22 09:00:00,2025-12-22 09:00:00
76,20251208,106,191,149,31515,750,300.0,153,125,112,58,38,28,13,13,34,2025-12-22 09:00:00,2025-12-22 09:00:00
77,20251208,107,115,90,12018,437,190.0,94,79,57,22,21,15,22,10,10,2025-12-22 09:00:00,2025-12-22 09:00:00
78,20251208,108,162,126,19602,506,220.0,117,91,82,33,45,26,9,24,29,2025-12-22 09:00:00,2025-12-22 09:00:00
79,20251208,109,86,67,9460,460,200.0,69,59,54,31,17,10,5,7,10,2025-12-22 09:00:00,2025-12-22 09:00:00
80,20251208,110,143,112,11011,322,140.0,97,78,70,27,46,19,8,40,14,2025-12-22 09:00:00,2025-12-22 09:00:00
81,20251209,101,213,166,24602,483,210.0,160,96,82,16,53,64,14,17,47,2025-12-22 09:00:00,2025-12-22 09:00:00
82,20251209,102,175,136,30800,800,320.0,144,112,101,50,31,32,11,10,28,2025-12-22 09:00:00,2025-12-22 09:00:00
83,20251209,103,252,197,8316,126,60.0,164,144,135,27,88,20,9,113,15,2025-12-22 09:00:00,2025-12-22 09:00:00
84,20251209,104,136,106,13464,414,180.0,109,89,80,42,27,20,9,14,14,2025-12-22 09:00:00,2025-12-22 09:00:00
85,20251209,105,155,121,12788,345,150.0,85,68,63,17,70,17,5,19,12,2025-12-22 09:00:00,2025-12-22 09:00:00
86,20251209,106,194,151,32010,750,300.0,155,127,114,59,39,28,13,14,35,2025-12-22 09:00:00,2025-12-22 09:00:00
87,20251209,107,116,90,12122,437,190.0,95,80,58,22,21,15,22,10,10,2025-12-22 09:00:00,2025-12-22 09:00:00
88,20251209,108,165,129,19965,506,220.0,119,93,84,34,46,26,9,25,30,2025-12-22 09:00:00,2025-12-22 09:00:00
89,20251209,109,87,68,9570,460,200.0,70,60,55,31,17,10,5,7,10,2025-12-22 09:00:00,2025-12-22 09:00:00
90,20251209,110,146,114,11242,322,140.0,99,79,71,27,47,20,8,41,15,2025-12-22 09:00:00,2025-12-22 09:00:00
91,20251210,101,256,200,29568,483,210.0,192,115,98,20,64,77,17,20,56,2025-12-22 09:00:00,2025-12-22 09:00:00
92,20251210,102,209,163,36784,800,320.0,171,133,120,60,38,38,13,13,34,2025-12-22 09:00:00,2025-12-22 09:00:00
93,20251210,103,302,236,9966,126,60.0,196,172,162,32,106,24,10,136,18,2025-12-22 09:00:00,2025-12-22 09:00:00
94,20251210,104,163,127,16137,414,180.0,130,107,96,50,33,23,11,16,16,2025-12-22 09:00:00,2025-12-22 09:00:00
95,20251210,105,186,145,15345,345,150.0,102,82,75,20,84,20,7,22,15,2025-12-22 09:00:00,2025-12-22 09:00:00
96,20251210,106,232,181,38280,750,300.0,186,153,138,72,46,33,15,16,41,2025-12-22 09:00:00,2025-12-22 09:00:00
97,20251210,107,139,108,14526,437,190.0,114,96,69,26,25,18,27,13,12,2025-12-22 09:00:00,2025-12-22 09:00:00
98,20251210,108,198,154,23958,506,220.0,143,112,101,40,55,31,11,30,35,2025-12-22 09:00:00,2025-12-22 09:00:00
99,20251210,109,105,82,11550,460,200.0,84,71,65,37,21,13,6,8,13,2025-12-22 09:00:00,2025-12-22 09:00:00
100,20251210,110,174,136,13398,322,140.0,118,94,85,32,56,24,9,49,18,2025-12-22 09:00:00,2025-12-22 09:00:00
101,20251211,101,220,172,25410,483,210.0,165,99,84,17,55,66,15,18,48,2025-12-22 09:00:00,2025-12-22 09:00:00
102,20251211,102,180,140,31680,800,320.0,148,115,104,52,32,33,11,11,29,2025-12-22 09:00:00,2025-12-22 09:00:00
103,20251211,103,260,203,8580,126,60.0,169,149,140,28,91,20,9,117,16,2025-12-22 09:00:00,2025-12-22 09:00:00
104,20251211,104,140,109,13860,414,180.0,112,92,83,43,28,20,9,14,14,2025-12-22 09:00:00,2025-12-22 09:00:00
105,20251211,105,160,125,13200,345,150.0,88,70,64,17,72,18,6,19,13,2025-12-22 09:00:00,2025-12-22 09:00:00
106,20251211,106,200,156,33000,750,300.0,160,131,118,61,40,29,13,14,36,2025-12-22 09:00:00,2025-12-22 09:00:00
107,20251211,107,120,94,12540,437,190.0,98,82,59,22,22,16,23,11,11,2025-12-22 09:00:00,2025-12-22 09:00:00
108,20251211,108,170,133,20570,506,220.0,122,95,86,34,48,27,9,26,31,2025-12-22 09:00:00,2025-12-22 09:00:00
109,20251211,109,90,70,9900,460,200.0,72,61,56,32,18,11,5,7,11,2025-12-22 09:00:00,2025-12-22 09:00:00
110,20251211,110,150,117,11550,322,140.0,102,82,74,28,48,20,8,42,15,2025-12-22 09:00:00,2025-12-22 09:00:00
111,20251212,101,223,174,25757,483,210.0,167,100,85,17,56,67,15,18,49,2025-12-22 09:00:00,2025-12-22 09:00:00
112,20251212,102,183,143,34221,850,340.0,150,117,105,56,33,33,12,11,30,2025-12-22 09:00:00,2025-12-22 09:00:00
113,20251212,103,264,206,8712,126,60.0,172,151,142,28,92,21,9,119,16,2025-12-22 09:00:00,2025-12-22 09:00:00
114,20251212,104,142,111,14058,414,180.0,114,93,84,44,28,21,9,14,14,2025-12-22 09:00:00,2025-12-22 09:00:00
115,20251212,105,162,126,13365,345,150.0,89,71,65,18,73,18,6,19,13,2025-12-22 09:00:00,2025-12-22 09:00:00
116,20251212,106,203,158,35728,800,320.0,162,133,120,66,41,29,13,14,37,2025-12-22 09:00:00,2025-12-22 09:00:00
117,20251212,107,122,95,12749,437,190.0,100,84,60,23,22,16,24,11,11,2025-12-22 09:00:00,2025-12-22 09:00:00
118,20251212,108,173,135,20933,506,220.0,125,98,88,35,48,27,10,26,31,2025-12-22 09:00:00,2025-12-22 09:00:00
119,20251212,109,91,71,10010,460,200.0,73,62,57,32,18,11,5,7,11,2025-12-22 09:00:00,2025-12-22 09:00:00
120,20251212,110,152,119,11704,322,140.0,103,82,74,28,49,21,8,43,15,2025-12-22 09:00:00,2025-12-22 09:00:00
121,20251213,101,170,133,19635,483,210.0,128,77,65,13,42,51,12,14,37,2025-12-22 09:00:00,2025-12-22 09:00:00
122,20251213,102,139,108,25993,850,340.0,114,89,80,42,25,25,9,8,22,2025-12-22 09:00:00,2025-12-22 09:00:00
123,20251213,103,201,157,6633,126,60.0,131,115,108,22,70,16,7,90,12,2025-12-22 09:00:00,2025-12-22 09:00:00
124,20251213,104,108,84,10692,414,180.0,86,71,64,33,22,15,7,11,11,2025-12-22 09:00:00,2025-12-22 09:00:00
125,20251213,105,124,97,10230,345,150.0,68,54,50,14,56,14,4,15,10,2025-12-22 09:00:00,2025-12-22 09:00:00
126,20251213,106,154,120,27104,800,320.0,123,101,91,50,31,22,10,11,28,2025-12-22 09:00:00,2025-12-22 09:00:00
127,20251213,107,93,73,9719,437,190.0,76,64,46,17,17,12,18,8,8,2025-12-22 09:00:00,2025-12-22 09:00:00
128,20251213,108,131,102,15851,506,220.0,94,73,66,26,37,21,7,20,24,2025-12-22 09:00:00,2025-12-22 09:00:00
129,20251213,109,70,55,7700,460,200.0,56,48,44,25,14,8,4,6,8,2025-12-22 09:00:00,2025-12-22 09:00:00
130,20251213,110,116,90,8932,322,140.0,79,63,57,22,37,16,6,32,12,2025-12-22 09:00:00,2025-12-22 09:00:00
131,20251214,101,172,134,19866,483,210.0,129,77,65,13,43,52,12,14,38,2025-12-22 09:00:00,2025-12-22 09:00:00
132,20251214,102,141,110,26367,850,340.0,116,90,81,43,25,26,9,8,22,2025-12-22 09:00:00,2025-12-22 09:00:00
133,20251214,103,204,159,6732,126,60.0,133,117,110,22,71,16,7,92,12,2025-12-22 09:00:00,2025-12-22 09:00:00
134,20251214,104,110,86,10890,414,180.0,88,72,65,34,22,16,7,11,11,2025-12-22 09:00:00,2025-12-22 09:00:00
135,20251214,105,125,98,10312,345,150.0,69,55,51,14,56,14,4,15,10,2025-12-22 09:00:00,2025-12-22 09:00:00
136,20251214,106,157,122,27632,800,320.0,126,103,93,51,31,23,10,11,28,2025-12-22 09:00:00,2025-12-22 09:00:00
137,20251214,107,94,73,9823,437,190.0,77,65,47,18,17,12,18,8,8,2025-12-22 09:00:00,2025-12-22 09:00:00
138,20251214,108,133,104,16093,506,220.0,96,75,68,27,37,21,7,20,24,2025-12-22 09:00:00,2025-12-22 09:00:00
139,20251214,109,71,55,7810,460,200.0,57,48,44,25,14,9,4,6,8,2025-12-22 09:00:00,2025-12-22 09:00:00
140,20251214,110,118,92,9086,322,140.0,80,64,58,22,38,16,6,33,12,2025-12-22 09:00:00,2025-12-22 09:00:00
141,20251215,101,233,182,26912,483,210.0,175,105,89,18,58,70,16,19,51,2025-12-22 09:00:00,2025-12-22 09:00:00
142,20251215,102,191,149,35717,850,340.0,157,122,110,58,34,35,12,11,31,2025-12-22 09:00:00,2025-12-22 09:00:00
143,20251215,103,276,215,8349,116,55.0,171,150,141,28,105,21,9,138,17,2025-12-22 09:00:00,2025-12-22 09:00:00
144,20251215,104,148,115,14652,414,180.0,118,97,87,45,30,21,10,15,15,2025-12-22 09:00:00,2025-12-22 09:00:00
145,20251215,105,170,133,14025,345,150.0,94,75,69,19,76,19,6,20,14,2025-12-22 09:00:00,2025-12-22 09:00:00
146,20251215,106,212,165,37312,800,320.0,170,139,125,69,42,31,14,15,38,2025-12-22 09:00:00,2025-12-22 09:00:00
147,20251215,107,127,99,13272,437,190.0,104,87,63,24,23,17,24,11,12,2025-12-22 09:00:00,2025-12-22 09:00:00
148,20251215,108,180,140,21780,506,220.0,130,101,91,36,50,29,10,27,32,2025-12-22 09:00:00,2025-12-22 09:00:00
149,20251215,109,95,74,10450,460,200.0,76,65,60,34,19,11,5,8,11,2025-12-22 09:00:00,2025-12-22 09:00:00
150,20251215,110,159,124,11806,310,135.0,103,82,74,28,56,21,8,52,16,2025-12-22 09:00:00,2025-12-22 09:00:00
151,20251216,101,236,184,28556,506,220.0,177,120,102,24,59,57,18,19,52,2025-12-22 09:00:00,2025-12-22 09:00:00
152,20251216,102,194,151,36278,850,340.0,159,124,112,59,35,35,12,12,32,2025-12-22 09:00:00,2025-12-22 09:00:00
153,20251216,103,280,218,8470,116,55.0,174,153,144,29,106,21,9,140,17,2025-12-22 09:00:00,2025-12-22 09:00:00
154,20251216,104,150,117,14850,414,180.0,120,98,88,46,30,22,10,15,15,2025-12-22 09:00:00,2025-12-22 09:00:00
155,20251216,105,172,134,14190,345,150.0,95,76,70,19,77,19,6,21,14,2025-12-22 09:00:00,2025-12-22 09:00:00
156,20251216,106,215,168,37840,800,320.0,172,141,127,70,43,31,14,15,39,2025-12-22 09:00:00,2025-12-22 09:00:00
157,20251216,107,129,101,13481,437,190.0,106,89,64,24,23,17,25,12,12,2025-12-22 09:00:00,2025-12-22 09:00:00
158,20251216,108,183,143,22143,506,220.0,132,103,93,37,51,29,10,27,33,2025-12-22 09:00:00,2025-12-22 09:00:00
159,20251216,109,97,76,10670,460,200.0,78,66,61,35,19,12,5,8,11,2025-12-22 09:00:00,2025-12-22 09:00:00
160,20251216,110,161,126,11954,310,135.0,105,84,76,29,56,21,8,53,16,2025-12-22 09:00:00,2025-12-22 09:00:00
161,20251217,101,240,187,29040,506,220.0,180,122,104,25,60,58,18,19,53,2025-12-22 09:00:00,2025-12-22 09:00:00
162,20251217,102,196,153,36652,850,340.0,161,126,113,60,35,35,13,12,32,2025-12-22 09:00:00,2025-12-22 09:00:00
163,20251217,103,283,221,8561,116,55.0,175,154,145,29,108,21,9,142,17,2025-12-22 09:00:00,2025-12-22 09:00:00
164,20251217,104,153,119,15147,414,180.0,122,100,90,47,31,22,10,15,16,2025-12-22 09:00:00,2025-12-22 09:00:00
165,20251217,105,174,136,14355,345,150.0,96,77,71,19,78,19,6,21,14,2025-12-22 09:00:00,2025-12-22 09:00:00
166,20251217,106,218,170,38368,800,320.0,174,143,129,71,44,31,14,15,40,2025-12-22 09:00:00,2025-12-22 09:00:00
167,20251217,107,131,102,13690,437,190.0,107,90,65,25,24,17,25,12,12,2025-12-22 09:00:00,2025-12-22 09:00:00
168,20251217,108,185,144,22385,506,220.0,133,104,94,38,52,29,10,28,33,2025-12-22 09:00:00,2025-12-22 09:00:00
169,20251217,109,98,76,10780,460,200.0,78,66,61,35,20,12,5,8,12,2025-12-22 09:00:00,2025-12-22 09:00:00
170,20251217,110,163,127,12103,310,135.0,106,85,76,29,57,21,9,54,16,2025-12-22 09:00:00,2025-12-22 09:00:00
171,20251218,101,287,224,34727,506,220.0,215,146,124,30,72,69,22,23,63,2025-12-22 09:00:00,2025-12-22 09:00:00
172,20251218,102,235,183,43945,850,340.0,193,151,136,72,42,42,15,14,38,2025-12-22 09:00:00,2025-12-22 09:00:00
173,20251218,103,339,264,10255,116,55.0,210,185,174,35,129,25,11,170,20,2025-12-22 09:00:00,2025-12-22 09:00:00
174,20251218,104,183,143,18117,414,180.0,146,120,108,56,37,26,12,18,18,2025-12-22 09:00:00,2025-12-22 09:00:00
175,20251218,105,209,163,17242,345,150.0,115,92,85,23,94,23,7,25,17,2025-12-22 09:00:00,2025-12-22 09:00:00
176,20251218,106,261,204,45936,800,320.0,209,171,154,85,52,38,17,18,47,2025-12-22 09:00:00,2025-12-22 09:00:00
177,20251218,107,156,122,16302,437,190.0,128,108,89,39,28,20,19,14,14,2025-12-22 09:00:00,2025-12-22 09:00:00
178,20251218,108,222,173,26862,506,220.0,160,125,112,45,62,35,13,33,40,2025-12-22 09:00:00,2025-12-22 09:00:00
179,20251218,109,117,91,12870,460,200.0,94,80,74,42,23,14,6,9,14,2025-12-22 09:00:00,2025-12-22 09:00:00
180,20251218,110,196,153,14553,310,135.0,127,102,92,35,69,25,10,65,20,2025-12-22 09:00:00,2025-12-22 09:00:00
181,20251219,101,246,192,29766,506,220.0,184,125,106,25,62,59,19,20,55,2025-12-22 09:00:00,2025-12-22 09:00:00
182,20251219,102,202,158,37774,850,340.0,166,129,116,61,36,37,13,12,32,2025-12-22 09:00:00,2025-12-22 09:00:00
183,20251219,103,291,227,8803,116,55.0,180,158,149,30,111,22,9,146,18,2025-12-22 09:00:00,2025-12-22 09:00:00
184,20251219,104,157,122,15543,414,180.0,126,103,93,48,31,23,10,16,16,2025-12-22 09:00:00,2025-12-22 09:00:00
185,20251219,105,179,140,14768,345,150.0,98,78,72,19,81,20,6,21,14,2025-12-22 09:00:00,2025-12-22 09:00:00
186,20251219,106,224,175,39424,800,320.0,179,147,132,73,45,32,15,16,40,2025-12-22 09:00:00,2025-12-22 09:00:00
187,20251219,107,134,105,14003,437,190.0,110,92,75,33,24,18,17,12,12,2025-12-22 09:00:00,2025-12-22 09:00:00
188,20251219,108,190,148,22990,506,220.0,137,107,96,38,53,30,11,28,34,2025-12-22 09:00:00,2025-12-22 09:00:00
189,20251219,109,101,79,11110,460,200.0,81,69,63,36,20,12,6,8,12,2025-12-22 09:00:00,2025-12-22 09:00:00
190,20251219,110,168,131,12474,310,135.0,109,87,78,30,59,22,9,55,17,2025-12-22 09:00:00,2025-12-22 09:00:00
191,20251220,101,187,146,22627,506,220.0,140,95,81,19,47,45,14,15,41,2025-12-22 09:00:00,2025-12-22 09:00:00
192,20251220,102,153,119,28611,850,340.0,125,98,88,47,28,27,10,9,25,2025-12-22 09:00:00,2025-12-22 09:00:00
193,20251220,103,221,172,6685,116,55.0,137,121,114,23,84,16,7,110,13,2025-12-22 09:00:00,2025-12-22 09:00:00
194,20251220,104,119,93,11781,414,180.0,95,78,70,36,24,17,8,12,12,2025-12-22 09:00:00,2025-12-22 09:00:00
195,20251220,105,136,106,11220,345,150.0,75,60,55,15,61,15,5,16,11,2025-12-22 09:00:00,2025-12-22 09:00:00
196,20251220,106,170,133,29920,800,320.0,136,112,101,56,34,24,11,12,31,2025-12-22 09:00:00,2025-12-22 09:00:00
197,20251220,107,102,80,10659,437,190.0,84,71,58,26,18,13,13,9,9,2025-12-22 09:00:00,2025-12-22 09:00:00
198,20251220,108,145,113,17545,506,220.0,104,81,73,29,41,23,8,22,26,2025-12-22 09:00:00,2025-12-22 09:00:00
199,20251220,109,77,60,8470,460,200.0,62,53,49,28,15,9,4,6,9,2025-12-22 09:00:00,2025-12-22 09:00:00
200,20251220,110,128,100,9504,310,135.0,83,66,59,22,45,17,7,42,13,2025-12-22 09:00:00,2025-12-22 09:00:00
201,20251221,101,190,148,22990,506,220.0,142,97,82,20,48,45,15,15,42,2025-12-22 09:00:00,2025-12-22 09:00:00
202,20251221,102,155,121,28985,850,340.0,127,99,89,47,28,28,10,9,25,2025-12-22 09:00:00,2025-12-22 09:00:00
203,20251221,103,224,175,6776,116,55.0,139,122,115,23,85,17,7,112,13,2025-12-22 09:00:00,2025-12-22 09:00:00
204,20251221,104,121,94,11979,414,180.0,97,80,72,37,24,17,8,12,12,2025-12-22 09:00:00,2025-12-22 09:00:00
205,20251221,105,138,108,11385,345,150.0,76,61,56,15,62,15,5,17,11,2025-12-22 09:00:00,2025-12-22 09:00:00
206,20251221,106,172,134,30272,800,320.0,138,113,102,56,34,25,11,12,31,2025-12-22 09:00:00,2025-12-22 09:00:00
207,20251221,107,103,80,10764,437,190.0,84,71,58,26,19,13,13,9,10,2025-12-22 09:00:00,2025-12-22 09:00:00
208,20251221,108,147,115,17787,506,220.0,106,83,75,30,41,23,8,22,26,2025-12-22 09:00:00,2025-12-22 09:00:00
209,20251221,109,78,61,8580,460,200.0,62,53,49,28,16,9,4,6,10,2025-12-22 09:00:00,2025-12-22 09:00:00
210,20251221,110,129,101,9578,310,135.0,84,67,60,23,45,17,7,43,13,2025-12-22 09:00:00,2025-12-22 09:00:00
