src_node_id,dst_node_id,interaction_weight,activity_type,is_apply,date_key,time_key,engagement_score
8,23,0.1,impression,0,20241203,140000,0.10
9,11,0.1,impression,0,20241202,160000,0.10
9,11,0.4,click,0,20241202,160100,0.40
9,11,0.7,view,0,20241202,160200,0.70
10,3,0.1,impression,0,20241202,130000,0.10
10,3,0.4,click,0,20241202,130100,0.40
10,13,0.1,impression,0,20241203,140000,0.10
10,13,0.4,click,0,20241203,140100,0.40
10,13,0.8,view,0,20241203,140200,0.80
10,13,1.0,apply,1,20241204,100000,1.00
11,7,0.1,impression,0,20241202,140000,0.10
11,7,0.4,click,0,20241202,140100,0.40
11,7,0.8,view,0,20241202,140200,0.80
11,30,0.1,impression,0,20241203,150000,0.10
12,6,0.1,impression,0,20241202,160000,0.10
12,6,0.4,click,0,20241202,160100,0.40
12,16,0.1,impression,0,20241203,140000,0.10
13,1,0.1,impression,0,20241202,130000,0.10
13,1,0.4,click,0,20241202,130100,0.40
13,1,0.7,view,0,20241202,130200,0.70
13,12,0.1,impression,0,20241203,140000,0.10
13,12,0.4,click,0,20241203,140100,0.40
13,12,0.8,view,0,20241203,140200,0.80
13,12,1.0,apply,1,20241204,110000,1.00
14,9,0.1,impression,0,20241202,140000,0.10
14,9,0.4,click,0,20241202,140100,0.40
14,9,0.8,view,0,20241202,140200,0.80
15,39,0.1,impression,0,20241202,150000,0.10
15,39,0.4,click,0,20241202,150100,0.40
16,37,0.1,impression,0,20241202,130000,0.10
16,37,0.4,click,0,20241202,130100,0.40
16,37,0.7,view,0,20241202,130200,0.70
17,8,0.1,impression,0,20241202,160000,0.10
17,8,0.4,click,0,20241202,160100,0.40
17,46,0.1,impression,0,20241203,140000,0.10
17,46,0.4,click,0,20241203,140100,0.40
17,46,0.7,view,0,20241203,140200,0.70
18,14,0.1,impression,0,20241202,140000,0.10
18,14,0.4,click,0,20241202,140100,0.40
18,38,0.1,impression,0,20241203,150000,0.10
19,0,0.1,impression,0,20241202,160000,0.10
19,0,0.4,click,0,20241202,160100,0.40
19,0,0.8,view,0,20241202,160200,0.80
19,10,0.1,impression,0,20241203,140000,0.10
20,8,0.1,impression,0,20241202,130000,0.10
20,8,0.4,click,0,20241202,130100,0.40
20,41,0.1,impression,0,20241203,140000,0.10
21,16,0.1,impression,0,20241202,150000,0.10
21,16,0.4,click,0,20241202,150100,0.40
21,16,0.7,view,0,20241202,150200,0.70
22,19,0.1,impression,0,20241202,140000,0.10
22,19,0.4,click,0,20241202,140100,0.40
23,1,0.1,impression,0,20241202,160000,0.10
23,1,0.4,click,0,20241202,160100,0.40
23,1,0.7,view,0,20241202,160200,0.70
23,42,0.1,impression,0,20241203,130000,0.10
24,9,0.1,impression,0,20241202,140000,0.10
24,9,0.4,click,0,20241202,140100,0.40
24,43,0.1,impression,0,20241203,150000,0.10
25,33,0.1,impression,0,20241202,160000,0.10
25,33,0.4,click,0,20241202,160100,0.40
25,33,0.7,view,0,20241202,160200,0.70
26,6,0.1,impression,0,20241202,130000,0.10
26,6,0.4,click,0,20241202,130100,0.40
26,20,0.1,impression,0,20241203,140000,0.10
27,15,0.1,impression,0,20241202,140000,0.10
27,15,0.4,click,0,20241202,140100,0.40
27,15,0.8,view,0,20241202,140200,0.80
28,29,0.1,impression,0,20241202,150000,0.10
28,29,0.4,click,0,20241202,150100,0.40
28,29,0.7,view,0,20241202,150200,0.70
29,28,0.1,impression,0,20241202,160000,0.10
29,28,0.4,click,0,20241202,160100,0.40
30,0,0.1,impression,0,20241202,130000,0.10
30,0,0.4,click,0,20241202,130100,0.40
30,10,0.1,impression,0,20241203,140000,0.10
31,14,0.1,impression,0,20241202,140000,0.10
31,14,0.4,click,0,20241202,140100,0.40
31,41,0.1,impression,0,20241203,150000,0.10
32,3,0.1,impression,0,20241202,160000,0.10
32,3,0.4,click,0,20241202,160100,0.40
32,3,0.7,view,0,20241202,160200,0.70
33,24,0.1,impression,0,20241202,130000,0.10
33,24,0.4,click,0,20241202,130100,0.40
33,24,0.8,view,0,20241202,130200,0.80
34,47,0.1,impression,0,20241202,140000,0.10
34,47,0.4,click,0,20241202,140100,0.40
35,23,0.1,impression,0,20241202,150000,0.10
35,23,0.4,click,0,20241202,150100,0.40
35,23,0.7,view,0,20241202,150200,0.70
36,17,0.1,impression,0,20241202,160000,0.10
36,17,0.4,click,0,20241202,160100,0.40
36,17,0.8,view,0,20241202,160200,0.80
36,36,0.1,impression,0,20241203,140000,0.10
37,18,0.1,impression,0,20241202,130000,0.10
37,18,0.4,click,0,20241202,130100,0.40
37,18,0.8,view,0,20241202,130200,0.80
37,18,1.0,apply,1,20241203,100000,1.00
38,32,0.1,impression,0,20241202,140000,0.10
38,32,0.4,click,0,20241202,140100,0.40
39,4,0.1,impression,0,20241202,150000,0.10
39,4,0.4,click,0,20241202,150100,0.40
39,27,0.1,impression,0,20241203,140000,0.10
40,2,0.1,impression,0,20241202,160000,0.10
40,2,0.4,click,0,20241202,160100,0.40
40,25,0.1,impression,0,20241203,130000,0.10
41,5,0.1,impression,0,20241202,140000,0.10
41,5,0.4,click,0,20241202,140100,0.40
41,31,0.1,impression,0,20241203,150000,0.10
42,7,0.1,impression,0,20241202,160000,0.10
42,7,0.4,click,0,20241202,160100,0.40
42,7,0.8,view,0,20241202,160200,0.80
43,22,0.1,impression,0,20241202,130000,0.10
43,22,0.4,click,0,20241202,130100,0.40
43,22,0.7,view,0,20241202,130200,0.70
44,21,0.1,impression,0,20241202,140000,0.10
44,21,0.4,click,0,20241202,140100,0.40
45,46,0.1,impression,0,20241202,150000,0.10
45,46,0.4,click,0,20241202,150100,0.40
45,46,0.7,view,0,20241202,150200,0.70
46,21,0.1,impression,0,20241202,160000,0.10
46,21,0.4,click,0,20241202,160100,0.40
47,45,0.1,impression,0,20241202,130000,0.10
47,45,0.4,click,0,20241202,130100,0.40
47,45,0.7,view,0,20241202,130200,0.70
48,34,0.1,impression,0,20241202,140000,0.10
48,34,0.4,click,0,20241202,140100,0.40
49,47,0.1,impression,0,20241202,150000,0.10
49,47,0.4,click,0,20241202,150100,0.40
49,49,0.1,impression,0,20241203,140000,0.10
