src_node_id,dst_node_id,proficiency_level,proficiency_norm
44,48,5,1.00
44,13,5,1.00
44,12,5,1.00
44,21,5,1.00
45,0,3,0.50
45,3,3,0.50
45,21,2,0.25
45,12,2,0.25
45,14,3,0.50
46,0,5,1.00
46,3,5,1.00
46,49,5,1.00
46,48,5,1.00
46,13,5,1.00
46,12,5,1.00
46,21,5,1.00
47,0,4,0.75
47,40,5,1.00
47,41,5,1.00
47,21,4,0.75
47,12,3,0.50
48,0,4,0.75
48,6,5,1.00
48,46,4,0.75
48,49,4,0.75
48,12,4,0.75
48,21,4,0.75
49,11,5,1.00
49,17,5,1.00
49,12,5,1.00
49,13,4,0.75
49,16,5,1.00
49,14,4,0.75
